listing_id,body_type,color,interior_material,sunroof
20412460,SUV / Crossover,White,Velour,
20053926,SUV / Crossover,White,Leather,
20093287,SUV / Crossover,White,Leather,
20398626,Sedan,White,Leather,
20412459,Sedan,White,Leather,
19075019,Sedan,Maroon,Textile,False
20183727,Sedan,Silver,Textile,False
20398115,SUV / Crossover,Blue,Leather,
19787876,SUV / Crossover,Blue,Leather,
20097271,SUV / Crossover,Blue,Leather,
20053034,SUV / Crossover,White,Leatherette,
20097376,SUV / Crossover,White,Leather,
20350287,Sedan,Black,Textile,False
20212514,Minivan,Black,Textile,False
19914950,Minivan,Silver,Other,False
17485133,Sedan,Silver,Other,False
19182812,Hatchback,Black,Leather,False
20092447,SUV / Crossover,Gray,Alcantara,
20412405,Sedan,Gray,Other,False
19816096,Sedan,Black,Leather,False
20291499,Sedan,Black,Textile,False
20412407,Sedan,Black,Other,False
20412408,Hatchback,Silver,Textile,False
20134079,Sedan,White,Textile,False
20287209,Van,White,Leather,False
19998662,Hatchback,Blue,Leather,False
20158110,Sedan,Gray,Leather,
19271082,Sedan,Black,Textile,False
20275319,Sedan,White,Textile,False
20031976,Sedan,White,Leather,
20099214,Hatchback,Blue,Leather,
20095606,SUV / Crossover,Black,Leather,False
18926869,Sedan,Black,Textile,False
19011585,Hatchback,Purple,Textile,False
19838490,Sedan,White,Other,False
20317358,Sedan,White,Leather,
16479365,SUV / Crossover,White,Leather,
20295129,Sedan,White,Textile,False
20373224,SUV / Crossover,Blue,Textile,False
20342019,Sedan,White,Textile,False
20246477,SUV / Crossover,White,Textile,False
19018526,Sedan,Gray,Leather,
19799696,Coupe,Red,Alcantara,False
20381730,SUV / Crossover,Black,Leather,
18226702,Coupe,Gray,Textile,False
20375134,Sedan,Black,Leatherette,False
19974107,Hatchback,Cyan,Leather,False
20171582,Sedan,Silver,Leather,
20103568,SUV / Crossover,Brown,Leather,
20119759,Sedan,Black,Leather,False
20106753,SUV / Crossover,Green,Leather,False
20354986,SUV / Crossover,Gray,Leather,False
20330522,SUV / Crossover,Black,Leather,
18062085,Hatchback,Silver,Textile,False
19496094,Sedan,White,Textile,False
18026059,SUV / Crossover,Black,Leather,
19993167,SUV / Crossover,Gray,Textile,False
20227023,Van,White,Other,
20307831,Sedan,Silver,Other,False
20412295,Sedan,White,Other,False
19423252,SUV / Crossover,Black,Leather,
19980760,Sedan,Silver,Textile,False
19761680,SUV / Crossover,Silver,Textile,False
20412294,SUV / Crossover,Black,Leather,
20313404,SUV / Crossover,Black,Textile,False
20316581,SUV / Crossover,White,Textile,
20129033,Sedan,Blue,Leather,
18728333,Sedan,Black,Leather,
20088125,SUV / Crossover,Red,Leather,
19642999,Sedan,Gray,Textile,False
20026747,Sedan,Silver,Textile,False
20166170,Hatchback,Black,Other,
20264458,Sedan,Black,Textile,False
19952725,Sedan,Silver,Textile,
20291826,SUV / Crossover,Black,Other,False
19764655,Van,Green,Other,False
19475660,Sedan,Green,Textile,
19840782,SUV / Crossover,Gray,Other,
19904944,Hatchback,Black,Textile,False
19931716,Van,Blue,Textile,
20302376,Hatchback,Green,Other,False
19652645,Sedan,Blue,Textile,False
20098677,Hatchback,Gray,Textile,False
20412226,Sedan,Black,Other,False
20395294,Sedan,Gray,Leather,
20397181,SUV / Crossover,Gray,Textile,False
20394807,Sedan,Green,Leather,False
20083409,SUV / Crossover,Gray,Textile,False
19133125,Sedan,Gray,Alcantara,False
18616743,SUV / Crossover,Gray,Textile,
19966347,SUV / Crossover,White,Alcantara,
20013279,Minivan,Silver,Other,False
17682916,Sedan,Gray,Textile,False
20134105,SUV / Crossover,Black,Leather,
19825574,SUV / Crossover,Black,Textile,False
19392964,Sedan,Blue,Leather,
19797175,Sedan,Blue,Textile,False
19953830,Hatchback,Black,Leather,False
19779718,Sedan,White,Textile,False
20297155,SUV / Crossover,Black,Leather,
19663131,Sedan,Silver,Textile,False
20203533,SUV / Crossover,Red,Alcantara,False
20119664,SUV / Crossover,White,Other,False
19580742,SUV / Crossover,Black,Leather,
19879674,Hatchback,Gray,Leather,False
19667893,SUV / Crossover,White,Other,False
20412168,Sedan,Gray,Leather,
19539795,SUV / Crossover,Brown,Textile,False
20109826,Sedan,Silver,Textile,False
19078108,Sedan,Gray,Leather,
20386851,Sedan,Black,Leather,False
17440310,Sedan,Silver,Leather,
20011837,Sedan,Cyan,Textile,False
19676543,Sedan,Black,Leather,
20334065,Sedan,Black,Textile,False
20170530,Sedan,White,Textile,False
19373123,SUV / Crossover,White,Textile,False
20170541,SUV / Crossover,Gray,Textile,False
20041373,Hatchback,Black,Textile,False
20234613,SUV / Crossover,Beige,Leather,
20245298,Sedan,Gray,Alcantara,False
19389412,Minivan,Black,Alcantara,False
19452101,Hatchback,Beige,Textile,False
18613647,Minivan,Silver,Alcantara,False
19890305,Sedan,Red,Alcantara,False
19025660,Minibus,White,Textile,
19828360,Hatchback,Black,Textile,False
19332129,Sedan,Black,Alcantara,False
20367606,Sedan,Blue,Textile,False
20137004,SUV / Crossover,Black,Leather,
19192976,Sedan,Silver,Other,
19968060,Sedan,White,Leather,False
20317387,Sedan,Black,Leather,
19359615,SUV / Crossover,White,Textile,False
19596246,Sedan,Gray,Leather,
19838416,Van,White,Textile,False
19320512,Liftback,White,Leather,
19750140,Sedan,Black,Alcantara,False
20412070,Hatchback,Silver,Velour,False
17089671,Sedan,Black,Leather,
18912556,Sedan,Black,Textile,False
20015749,SUV / Crossover,Black,Textile,False
20363485,SUV / Crossover,Blue,Textile,False
20045783,Wagon,White,Textile,False
20268185,Sedan,Blue,Other,False
18561784,Sedan,White,Alcantara,False
20337921,Sedan,Black,Leather,False
20412077,Hatchback,White,Leather,False
20102159,Minivan,Silver,Textile,False
19511804,SUV / Crossover,Black,Textile,
18253276,Sedan,Black,Leather,
17787028,Sedan,Silver,Velour,False
19387034,SUV / Crossover,Silver,Textile,False
19258677,SUV / Crossover,White,Textile,
20386867,Sedan,Green,Leather,
19863178,Sedan,Gray,Textile,False
18791534,SUV / Crossover,Black,Leather,
19354795,Sedan,Black,Textile,False
19292672,Sedan,White,Other,
20245327,Sedan,Silver,Textile,False
20034864,Sedan,Silver,Textile,False
19681345,Sedan,Black,Leather,
19042044,SUV / Crossover,White,Leather,
20412009,Sedan,Blue,Textile,False
20412013,Hatchback,Black,Textile,False
20253423,Sedan,Maroon,Leather,False
19603585,Sedan,White,Leather,
19032845,Sedan,White,Textile,False
20216059,Minivan,Silver,Textile,False
18958560,Sedan,Black,Textile,False
20273057,Sedan,White,Alcantara,False
20147035,SUV / Crossover,Gray,Textile,False
19748488,SUV / Crossover,Gray,Textile,False
19967785,Van,Blue,Leatherette,False
19079577,Sedan,White,Leather,
19700013,Sedan,Blue,Textile,False
20019825,SUV / Crossover,White,Leather,
19397686,Coupe,Black,Leather,
17238810,Sedan,Silver,Textile,False
18133858,Sedan,Silver,Textile,False
19720518,Sedan,Green,Textile,
20292443,Sedan,White,Leather,False
19433976,Sedan,Black,Leather,
20395770,Sedan,Black,Textile,False
19933570,SUV / Crossover,Gray,Leather,
20395969,SUV / Crossover,Black,Textile,False
20357985,Sedan,Red,Leather,False
19533093,Sedan,Silver,Textile,False
20411985,Sedan,White,Textile,False
17697738,SUV / Crossover,White,Alcantara,False
20280888,Hatchback,Brown,Textile,False
19659951,SUV / Crossover,White,Textile,False
19913985,SUV / Crossover,Gray,Alcantara,
18987018,Sedan,Black,Textile,False
20265201,Sedan,Black,Textile,False
15965992,Van,Green,Other,False
20037018,SUV / Crossover,Silver,Leather,False
19796266,Minivan,Black,Leather,False
20121512,Sedan,Silver,Textile,False
20172968,Sedan,Gray,Textile,False
20317594,Sedan,Maroon,Textile,False
20169186,Sedan,Gray,Leather,
18563889,SUV / Crossover,Black,Leather,False
19825486,SUV / Crossover,Gray,Leather,
19825652,Sedan,Black,Textile,False
19238881,SUV / Crossover,Black,Other,False
20351535,SUV / Crossover,White,Leather,
20336398,Sedan,Blue,Textile,False
19026779,SUV / Crossover,Maroon,Textile,False
18734309,Sedan,Silver,Leather,
18807587,SUV / Crossover,White,Leather,
20298764,SUV / Crossover,White,Leather,
17116300,Coupe,Blue,Leather,
19951468,Sedan,White,Leather,
18452894,Sedan,White,Leather,False
20246532,Sedan,Gray,Leather,
19805651,Sedan,Gray,Leather,
19844076,SUV / Crossover,Red,Leather,
18968158,SUV / Crossover,White,Leather,False
19912345,Hatchback,Black,Textile,
19665995,SUV / Crossover,Black,Textile,False
19214602,Sedan,Silver,Textile,False
16610977,SUV / Crossover,Gold,Alcantara,
20164269,Van,White,Leather,False
20406090,SUV / Crossover,Brown,Leather,
20378269,Sedan,White,Textile,False
20330471,Sedan,Gray,Leather,
19722493,Hatchback,Maroon,Other,False
19786815,Sedan,Black,Leather,False
20179450,Sedan,White,Leather,False
18914277,Sedan,Black,Leather,False
17897156,Sedan,Blue,Textile,False
20346503,Sedan,Silver,Leatherette,False
19391497,Sedan,Silver,Textile,False
19229071,Sedan,Gray,Leather,False
20378654,Sedan,Maroon,Textile,
18917138,Hatchback,White,Textile,False
20411927,SUV / Crossover,White,Leather,
18649465,Sedan,White,Leather,False
20411930,Sedan,White,Leather,
20329656,Sedan,Black,Textile,False
19056101,Sedan,Black,Other,False
20224638,SUV / Crossover,White,Leather,
20279917,Sedan,Gray,Leather,
19604979,Sedan,Gray,Alcantara,False
20120233,Sedan,White,Alcantara,False
20387340,Sedan,Black,Textile,False
19612742,Sedan,Gray,Leatherette,False
20396700,Sedan,Silver,Leather,False
19920209,SUV / Crossover,Red,Textile,
18518175,Sedan,White,Other,False
19313177,SUV / Crossover,Blue,Alcantara,False
19693187,Sedan,White,Textile,False
19170276,Sedan,Gray,Textile,False
18318546,Sedan,White,Textile,False
19981758,Sedan,Black,Leather,False
20411883,Sedan,Gray,Leather,
19952977,SUV / Crossover,White,Textile,False
19306322,Sedan,Gray,Alcantara,False
20222383,SUV / Crossover,White,Textile,False
20323680,Minivan,Black,Velour,False
19635963,Minivan,White,Textile,False
20209597,Sedan,Black,Leather,
20026573,Sedan,Gray,Textile,
19933131,Sedan,Black,Textile,
19596763,Van,White,Textile,False
19825615,Van,White,Textile,False
20137211,SUV / Crossover,Silver,Textile,False
19839590,Van,White,Textile,False
18173613,Sedan,White,Other,False
19426426,Sedan,Gray,Leather,
19151254,Sedan,Blue,Textile,False
20411846,SUV / Crossover,White,Leather,
19023494,Sedan,Silver,Textile,
20397408,Sedan,Silver,Leather,
18688726,Sedan,White,Leather,
18801054,SUV / Crossover,Red,Leather,
19285795,Sedan,Black,Textile,False
20358425,Sedan,Black,Leather,False
17398429,Hatchback,Gray,Textile,False
20271727,Coupe,Red,Leather,
20279894,Sedan,Gray,Textile,False
19265429,Sedan,Brown,Alcantara,False
19820042,Hatchback,Gray,Leather,False
20411847,SUV / Crossover,Black,Other,False
19486574,Hatchback,White,Textile,False
18267583,SUV / Crossover,Silver,Leather,False
20268247,Sedan,Black,Textile,False
20316569,Minivan,Blue,Velour,False
17372478,SUV / Crossover,Silver,Leather,
20219073,Hatchback,Black,Textile,False
19719890,Coupe,Black,Other,False
19494371,Sedan,Black,Leather,
20043520,Hatchback,Silver,Textile,False
20323043,Sedan,Gray,Leather,False
19867852,SUV / Crossover,Gray,Textile,
20199880,SUV / Crossover,Red,Textile,False
20232767,Sedan,White,Alcantara,False
19865347,SUV / Crossover,Gray,Leather,False
20007484,SUV / Crossover,White,Leather,
20316572,Wagon,Green,Textile,False
19800797,Sedan,White,Textile,False
20298782,Sedan,Black,Leatherette,
18386122,Hatchback,Green,Other,
19228072,Sedan,Gray,Textile,False
19729761,SUV / Crossover,Black,Textile,False
20099362,SUV / Crossover,Black,Other,False
19419009,Sedan,Brown,Textile,False
19744465,SUV / Crossover,White,Leather,
20025395,Sedan,Brown,Leather,
20310552,SUV / Crossover,Beige,Leather,
20317704,Hatchback,Silver,Leather,False
20163095,SUV / Crossover,Silver,Leather,
19504826,SUV / Crossover,Green,Other,False
18015081,Sedan,Silver,Textile,False
20267134,SUV / Crossover,Beige,Textile,False
19773645,SUV / Crossover,Red,Textile,False
19904888,Sedan,Blue,Other,False
18049884,Minivan,White,Leather,
19858263,SUV / Crossover,Gray,Textile,False
18940959,Sedan,Black,Leather,
18619925,Sedan,White,Leather,False
18827124,SUV / Crossover,Black,Leather,
19960400,SUV / Crossover,Gray,Textile,False
20091330,Sedan,Gray,Leather,False
19750505,SUV / Crossover,White,Textile,False
20350420,Sedan,Black,Leather,False
19458875,Sedan,Gray,Textile,False
20140087,Pickup,Blue,Leather,False
19598634,Sedan,Green,Leather,False
19812275,Sedan,Gray,Textile,False
20028613,SUV / Crossover,Black,Leather,
20026046,Sedan,White,Leather,
19844072,SUV / Crossover,Silver,Textile,False
19813364,Sedan,White,Leather,False
20041900,Hatchback,Cyan,Textile,False
20262574,Sedan,Beige,Textile,False
19292767,Sedan,White,Other,False
19063377,Sedan,Gold,Textile,False
20127549,Sedan,Blue,Leather,False
19735950,Sedan,Silver,Leather,
20290739,Hatchback,Gray,Textile,False
20291095,Sedan,Gray,Textile,False
20113779,Coupe,Black,Leather,
19824746,SUV / Crossover,White,Leather,
20297088,SUV / Crossover,Black,Leather,False
19654616,SUV / Crossover,Black,Textile,False
20279922,Minivan,White,Alcantara,False
18095012,Sedan,White,Leather,
18144272,Sedan,Maroon,Textile,False
20026525,Sedan,Gray,Leather,
20387205,Sedan,Black,Textile,False
18656887,Sedan,White,Leather,
20366649,Sedan,Gray,Velour,
20300142,Sedan,White,Leather,
19820161,SUV / Crossover,Black,Leather,False
20176933,SUV / Crossover,Black,Textile,
20278968,SUV / Crossover,White,Textile,
